  191  TEESSIDE                      EGNV  TEESSIDE, UNITED KINGDOM      54304200001251800001200  
  192  ORKNEY/KIRKWALL               EGPA  KIRKWALL, UNITED KINGDOM      58572400002542400000500  
  193  SUMBURGH                      EGPB  SUMBURGH/SHETLAND, U KINGDOM  59524200001173600000190  
  194  WICK                          EGPC  WICK, UNITED KINGDOM          58272400003055400001250  
  195  DYCE                          EGPD  ABERDEEN, UNITED KINGDOM      57121200002120000002150  
  196  INVERNESS                     EGPE  INVERNESS, UNITED KINGDOM     57322400004030000000310  
  197  GLASGOW                       EGPF  GLASGOW, UNITED KINGDOM       55521800004260000000260  
  198  EDINBURGH                     EGPH  EDINBURGH, UNITED KINGDOM     55570600003214800001350  
  199  ISLAY                         EGPI  ISLAY, UNITED KINGDOM         55405400006152400000580  
  200  PRESTWICK                     EGPK  PRESTWICK, UNITED KINGDOM     55300000004340000000650  
  201  BENBECULA                     EGPL  BENBECULA, UNITED KINGDOM     57283600007220000000190  
  202  STORNOWAY                     EGPO  STORNOWAY, UNITED KINGDOM     58124800006194800000250  
  203  TIREE                         EGPU  TIREE, UNITED KINGDOM         56300000006522400000380  
  204  KINLOSS                       EGQK  KINLOSS, UNITED KINGDOM       57390000003333600000220  
  205  NORWICH                       EGSH  NORWICH, UNITED KINGDOM       5240300000117060}001170  
  206  STANSTED                      EGSS  LONDON-STANSTED, U KINGDOM    5152540000014000}003470  
  207  BRIZE NORTON                  EGVN  LONDON, UNITED KINGDOM        51440000001350000002880  
  208  MOUNT PLEASANT                EGYP  MOUNT PLEASANT,FALKLAND I, UK 5149240}058264800002440  
  209  SCHIPHOL                      EHAM  AMSTERDAM, NETHERLANDS        5218300000445480}00-110  
  210  DEELEN RNLAF                  EHDL  DEELEN, NETHERLANDS           5203360000552180}001580  
  211  DRACHTEN                      EHDR  DRACHTEN, NETHERLANDS         5307120000607420}000140  
  212  EINDHOVEN                     EHEH  EINDHOVEN, NETHERLANDS        5127000000522300}000740  
  213  EELDE                         EHGG  GRONINGEN, NETHERLANDS        5307120000634300}000170  
  214  DE KOOY (DEN HELDER)          EHKD  DE KOOY, NETHERLANDS          5255300000447060}000030  
  215  LEEUWARDEN                    EHLW  LEEUWARDEN, NETHERLANDS       5313420000545360}000040  
  216  ROTTERDAM                     EHRD  ROTTERDAM, NETHERLANDS        5157240000426240}00-140  
  217  TWENTHE                       EHTW  ENSCHEDE, NETHERLANDS         5216180000652240}001140  
  218  VALKENBURG                    EHVB  VALKENBURG, NETHERLANDS       5210060000425300}000000  
  219  WOENSDRECHT                   EHWO  WOENSDRECHT, NETHERLANDS      5127000000420120}000630  
  220  GALWAY(CARNMORE)              EICM  GALWAY(CARNMORE), IRELAND     53180000008563000000900  
  221  DONEGAL(GARRICKFIN)           EIDL  DONEGAL(GARRICKFIN), IRELAND  55024800008204800000260  
  222  SLIGO                         EISG  SLIGO, IRELAND                54163000008360600000200  
  223  TIRSTRUP                      EKAH  AARHUS, DENMARK               5618060001037060}000820  
  224  BILLUND                       EKBI  BILLUND, DENMARK              5544240000909240}002470  
  225  KASTRUP                       EKCH  COPENHAGEN, DENMARK           5536420001238300}000170  
  226  ESBJERG                       EKEB  ESBJERG, DENMARK              5531360000833060}000970  
  227  KARUP RDAF                    EKKA  HERNING, DENMARK              5617540000906120}001700  
  228  KARUP RDAF                    EKKA  SILKEBORG, DENMARK            5617540000906120}001700  
  229  ODENSE                        EKOD  ODENSE, DENMARK               5528360001019480}000560  
  230  ROSKILDE                      EKRK  COPENHAGEN, DENMARK           5535060001207480}001450  
  231  RONNE                         EKRN  BORNHOLM, DENMARK             5503480001445360}000520  
  232  SONDERBORG                    EKSB  SONDERBORG, DENMARK           5457540000947420}000240  
  233  SKIVE                         EKSV  SKIVE, DENMARK                5632540000910300}000720  
